unix,low,high,open,close,volume,date,vol_fiat
1632441600,1.0004,1.0013,1.0006,1.0008,43731385.91,2021-09-24,43766371.018727995
1632355200,1.0004,1.0014,1.0005,1.0006,28569563.84,2021-09-23,28586705.578303996
1632268800,0.9998,1.0006,1.0,1.0005,39621127.99,2021-09-22,39640938.553995
1632182400,0.9996,1.0001,0.9997,0.9999,43148466.29,2021-09-21,43144151.443371
1632096000,0.9997,1.0007,1.0001,0.9997,62301997.39,2021-09-20,62283306.790783
1632009600,1.0001,1.0004,1.0003,1.0002,19558566.7,2021-09-19,19562478.41334
1631923200,1.0,1.0003,1.0002,1.0002,19120010.64,2021-09-18,19123834.642128002
1631836800,1.0,1.0004,1.0003,1.0002,37083158.55,2021-09-17,37090575.18171
1631750400,1.0001,1.0014,1.0004,1.0003,68746747.11,2021-09-16,68767371.134133
1631664000,1.0002,1.0008,1.0003,1.0004,21965909.89,2021-09-15,21974696.253956
1631577600,0.9997,1.0004,1.0003,1.0003,38720551.51,2021-09-14,38732167.675453
1631491200,0.9999,1.0025,1.0001,1.0004,45404680.81,2021-09-13,45422842.682324
1631404800,1.0,1.0003,1.0002,1.0,17388801.54,2021-09-12,17388801.54
1631318400,0.997,1.0002,1.0002,1.0002,23553861.79,2021-09-11,23558572.562358
1631232000,0.9998,1.0004,1.0002,1.0001,51734252.02,2021-09-10,51739425.445202
1631145600,0.9999,1.0003,1.0001,1.0002,43562538.17,2021-09-09,43571250.677634
1631059200,1.0,1.0021,1.0006,1.0002,60478260.41,2021-09-08,60490356.06208199
1630972800,0.9996,1.005,1.0003,1.0005,114286875.13,2021-09-07,114344018.567565
1630886400,1.0001,1.0008,1.0005,1.0004,29324469.03,2021-09-06,29336198.817612
1630800000,1.0004,1.0006,1.0006,1.0005,17256740.99,2021-09-05,17265369.360494997
1630713600,1.0003,1.0007,1.0006,1.0005,25452709.55,2021-09-04,25465435.904775
1630627200,1.0001,1.0007,1.0006,1.0005,38344299.75,2021-09-03,38363471.899875
1630540800,1.0003,1.0006,1.0003,1.0005,28138882.93,2021-09-02,28152952.371464998
1630454400,1.0002,1.0005,1.0003,1.0003,25091101.62,2021-09-01,25098628.950486
1630368000,1.0002,1.0005,1.0005,1.0002,28357013.07,2021-08-31,28362684.472614
1630281600,1.0003,1.0008,1.0007,1.0004,25724431.01,2021-08-30,25734720.782404
1630195200,1.0005,1.0008,1.0007,1.0006,12738246.73,2021-08-29,12745889.678038
1630108800,1.0004,1.0007,1.0007,1.0007,14683596.49,2021-08-28,14693875.007543
1630022400,1.0,1.0051,1.0003,1.0007,35097260.34,2021-08-27,35121828.422238
1629936000,1.0,1.0054,1.0002,1.0003,36336427.3,2021-08-26,36347328.22819
1629849600,1.0,1.0004,1.0003,1.0003,24386597.01,2021-08-25,24393912.989103
1629763200,1.0,1.0004,1.0003,1.0002,38449420.23,2021-08-24,38457110.11404599
1629676800,1.0001,1.0008,1.0008,1.0003,33053772.67,2021-08-23,33063688.801801
1629590400,1.0006,1.0009,1.0008,1.0008,17045238.03,2021-08-22,17058874.220424
1629504000,1.0004,1.001,1.0004,1.0008,21003672.43,2021-08-21,21020475.367944
1629417600,0.9999,1.0005,1.0,1.0004,28136403.59,2021-08-20,28147658.151435997
1629331200,0.9999,1.0004,1.0003,1.0,30116601.33,2021-08-19,30116601.33
1629244800,0.9999,1.0005,1.0,1.0003,29650969.08,2021-08-18,29659864.370723996
1629158400,0.9999,1.0005,1.0003,1.0,42349692.84,2021-08-17,42349692.84
1629072000,1.0,1.0008,1.0008,1.0003,28728296.77,2021-08-16,28736915.259030998
1628985600,1.0005,1.0009,1.0007,1.0008,17077484.49,2021-08-15,17091146.477591995
1628899200,1.0003,1.001,1.0004,1.0007,22515523.13,2021-08-14,22531283.996191
1628812800,1.0002,1.0007,1.0004,1.0003,35106065.64,2021-08-13,35116597.459692
1628726400,1.0002,1.0009,1.0004,1.0005,45259972.8,2021-08-12,45282602.7864
1628640000,0.9999,1.0011,1.0004,1.0004,43249740.32,2021-08-11,43267040.216128
1628553600,0.9998,1.0006,1.0,1.0003,37187122.65,2021-08-10,37198278.786795
1628467200,0.9998,1.0008,1.0007,1.0,25406233.96,2021-08-09,25406233.96
1628380800,1.0004,1.0009,1.0009,1.0007,17538624.06,2021-08-08,17550901.096842
1628294400,1.0003,1.0009,1.0004,1.0009,19005774.8,2021-08-07,19022879.99732
1628208000,1.0,1.0008,1.0004,1.0004,26458972.34,2021-08-06,26469555.928935997
